,number
0,9891.0
1,9768.0
2,9710.0
3,9649.0
4,9302.0
5,9471.0
6,9395.0
7,9356.0
8,9350.0
9,9449.0
10,9739.0
11,9711.0
12,9785.0
13,9823.0
14,9897.0
15,9668.0
16,9811.0
17,9931.0
18,10089.0
19,10551.0
20,10639.0
21,10710.0
22,10853.0
23,10833.0
24,10618.0
25,10994.0
26,10988.0
27,10691.0
28,10657.0
29,10514.999999999998
30,10736.999999999998
31,10672.999999999998
32,10573.999999999998
33,10653.999999999998
34,10498.999999999998
35,10779.999999999998
36,10729.999999999998
37,10851.999999999998
38,10733.999999999998
39,10912.999999999998
40,11020.999999999998
41,10248.999999999998
42,10377.999999999998
43,10179.999999999998
44,10068.999999999998
45,10498.999999999998
46,10250.999999999998
47,10163.999999999998
48,10435.999999999998
49,10406.999999999998
50,10028.999999999998
51,10031.999999999998
52,10311.999999999998
53,10263.999999999998
54,10228.999999999998
55,10221.999999999998
56,10534.999999999998
57,10573.999999999998
58,10703.999999999998
59,10560.999999999998
60,10503.999999999998
61,10568.999999999998
62,10423.999999999998
63,10399.999999999998
64,10251.999999999998
65,10360.999999999998
66,10739.999999999998
67,10660.999999999998
68,10639.999999999998
69,10520.999999999998
70,10514.999999999998
71,10496.999999999998
72,10599.999999999998
73,10865.999999999998
74,10881.999999999998
75,10917.999999999998
76,10862.999999999998
77,11042.999999999998
78,11079.999999999998
79,11042.999999999998
80,11329.999999999998
81,11443.999999999998
82,11080.999999999998
83,11016.999999999998
84,11036.999999999998
85,10830.999999999998
86,10715.999999999998
87,10740.999999999998
88,10747.999999999998
89,10818.999999999998
90,10672.999999999998
91,10506.999999999998
92,10363.999999999998
93,10360.999999999998
94,10423.999999999998
95,10597.999999999998
96,10477.999999999998
97,10478.999999999998
98,10758.999999999998
99,10916.999999999998
100,11006.999999999998
101,10953.999999999998
102,11012.999999999998
103,10913.999999999998
104,10977.999999999998
105,10476.999999999998
106,10446.999999999998
107,10471.999999999998
108,10612.999999999998
109,10584.999999999998
110,10618.999999999998
111,10533.999999999998
112,10721.999999999998
113,10627.999999999998
114,10944.999999999998
115,10994.999999999998
116,11014.999999999998
117,10971.999999999998
118,11325.999999999998
119,11423.999999999998
120,11354.999999999998
121,11448.999999999998
122,11363.999999999998
123,11368.999999999998
124,11415.999999999998
125,11310.999999999998
126,11327.999999999998
127,11123.999999999998
128,11224.999999999998
129,11348.999999999998
130,11311.999999999998
131,11223.999999999998
132,11046.999999999998
133,11205.999999999998
134,11196.999999999998
135,11115.999999999998
136,11328.999999999998
137,11506.999999999998
138,11259.999999999998
139,11170.999999999998
140,11250.999999999998
141,11258.999999999998
142,11202.999999999998
143,11162.999999999998
