,code,03-03,03-10,03-17,03-24,03-31,04-07,04-14,04-21,04-28,05-05,05-12,05-19,05-26,06-02,06-09,06-16,06-23,06-30,07-07,07-14,07-21,07-28,08-04,08-11,08-17,08-25,09-01,09-08,09-15,09-22
40,601766,9.51,9.14,9.21,9.24,9.1,9.39,9.23,9.4,8.66,8.64,8.21,7.99,7.79,7.91,7.87,8.04,8.18,8.09,8.17,7.88,7.8,8.05,7.71,7.32,7.23,7.28,7.28,7.52,7.69,7.72
41,601800,12.49,12.08,12.49,12.8,12.51,13.68,14.2,14.15,12.44,12.32,11.54,11.16,10.95,10.92,10.83,11.05,11.36,11.32,11.25,10.93,11.07,11.21,10.71,10.24,9.97,10.06,9.98,10.7,10.8,10.7
42,601818,4.4,4.17,4.13,4.11,4.1,4.23,4.14,4.32,4.09,4.17,3.96,3.87,3.86,3.84,3.92,3.94,4.03,3.81,3.86,3.8,3.78,3.87,3.86,3.77,3.77,3.71,3.76,3.97,3.99,3.96
43,601857,7.88,7.66,7.7,7.77,7.6,7.73,7.64,7.66,7.42,7.41,7.28,7.2,7.16,7.15,7.03,7.0,7.03,6.88,6.86,6.67,6.55,6.54,6.33,6.17,6.1,6.12,6.12,6.26,6.28,6.38
44,601888,64.45,59.55,60.95,64.25,70.08,72.35,71.38,78.64,77.3,77.49,77.15,77.19,75.3,77.39,73.93,79.46,85.04,88.65,86.5,87.71,85.88,89.6,90.47,87.4,90.72,95.28,95.48,94.18,92.39,93.37
45,601939,7.34,6.91,7.03,7.03,6.95,7.44,7.22,7.62,7.26,7.44,7.0,6.92,7.01,6.98,7.16,7.22,7.41,7.44,7.54,7.17,7.25,7.36,7.21,7.14,7.09,7.01,6.9,7.11,7.14,7.08
46,601988,3.9,3.75,3.79,3.8,3.77,3.89,3.87,4.03,3.86,3.89,3.75,3.73,3.79,3.88,3.72,3.73,3.77,3.74,3.75,3.72,3.67,3.7,3.64,3.56,3.57,3.54,3.53,3.63,3.66,3.61
47,601989,5.33,5.1,5.2,5.32,5.84,6.65,6.32,6.69,5.77,5.67,5.28,5.05,4.98,5.13,5.0,5.29,5.43,5.56,6.3,5.92,5.95,5.95,5.75,5.76,5.87,5.92,6.08,6.09,6.06,5.9
48,603259,89.89,93.56,93.65,96.87,93.82,93.12,96.25,92.95,88.29,88.52,78.28,80.46,79.71,79.2,77.17,82.2,85.06,86.68,65.92,63.5,64.95,67.2,63.86,65.18,71.9,82.57,86.7,82.16,80.64,84.5
49,603993,4.79,4.76,4.76,4.78,4.66,5.07,4.85,4.85,4.37,4.21,4.0,3.92,3.88,4.03,3.86,4.02,4.11,3.96,4.01,3.85,3.88,3.61,3.65,3.84,3.73,3.58,3.59,3.7,3.78,3.73
