,yield
0,0.9891
1,0.9768
2,0.971
3,0.9649
4,0.9302
5,0.9471
6,0.9395
7,0.9356
8,0.935
9,0.9449
10,0.9739
11,0.9711
12,0.9785
13,0.9823
14,0.9897
15,0.9668
16,0.9811
17,0.9931
18,1.0089
19,1.0551
20,1.0639
21,1.071
22,1.0853
23,1.0833
24,1.0618
25,1.0994
26,1.0988
27,1.0691
28,1.0657
29,1.0514999999999999
30,1.0736999999999999
31,1.0673
32,1.0574
33,1.0654
34,1.0498999999999998
35,1.0779999999999998
36,1.0729999999999997
37,1.0851999999999997
38,1.0734
39,1.0912999999999997
40,1.1020999999999999
41,1.0249
42,1.0377999999999998
43,1.0179999999999998
44,1.0069
45,1.0498999999999998
46,1.0251
47,1.0163999999999997
48,1.0435999999999999
49,1.0406999999999997
50,1.0029
51,1.0031999999999999
52,1.0312
53,1.0263999999999998
54,1.0229
55,1.0221999999999998
56,1.0534999999999999
57,1.0574
58,1.0703999999999998
59,1.0560999999999998
60,1.0503999999999998
61,1.0568999999999997
62,1.0423999999999998
63,1.0399999999999998
64,1.0252
65,1.0360999999999998
66,1.0739999999999998
67,1.0660999999999998
68,1.0639999999999998
69,1.0520999999999998
70,1.0514999999999999
71,1.0496999999999999
72,1.0599999999999998
73,1.0865999999999998
74,1.0881999999999998
75,1.0917999999999999
76,1.0862999999999998
77,1.1042999999999998
78,1.1079999999999999
79,1.1042999999999998
80,1.1329999999999998
81,1.1443999999999999
82,1.1080999999999999
83,1.1017
84,1.1037
85,1.0830999999999997
86,1.0715999999999999
87,1.0740999999999998
88,1.0747999999999998
89,1.0818999999999999
90,1.0673
91,1.0506999999999997
92,1.0363999999999998
93,1.0360999999999998
94,1.0423999999999998
95,1.0597999999999999
96,1.0477999999999998
97,1.0478999999999998
98,1.0758999999999999
99,1.0917
100,1.1006999999999998
101,1.0953999999999997
102,1.1012999999999997
103,1.0914
104,1.0977999999999999
105,1.0476999999999999
106,1.0446999999999997
107,1.0472
108,1.0613
109,1.0584999999999998
110,1.0618999999999998
111,1.0534
112,1.0721999999999998
113,1.0627999999999997
114,1.0944999999999998
115,1.0995
116,1.1015
117,1.0971999999999997
118,1.1325999999999998
119,1.1423999999999999
120,1.1354999999999997
121,1.1448999999999998
122,1.1363999999999999
123,1.1368999999999998
124,1.1415999999999997
125,1.1310999999999998
126,1.1327999999999998
127,1.1123999999999998
128,1.1224999999999998
129,1.1348999999999998
130,1.1311999999999998
131,1.1223999999999998
132,1.1046999999999998
133,1.1205999999999998
134,1.1197
135,1.1116
136,1.1328999999999998
137,1.1506999999999998
138,1.126
139,1.1170999999999998
140,1.1250999999999998
141,1.1259
142,1.1202999999999999
143,1.1162999999999998
